GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M4349,,Bosnia and Herzegovina,Miljevina Coal Mine,,,Pavgord d.o.o.,,Pavgord d.o.o.,Bosnia and Herzegovina,"0,1","0,2",2015,Underground & Surface,Mixed,,50,Estimate,50,Exact,Lignite,Thermal,1947,2015/2016,Financial difficulty,Abandoned,,Miljevina,,Republic of Srpska,Southern Europe,Europe,"43,51754149","18,64528974",Exact,,,,,,,,,N,N,N
M6235,1519244,United States,Mine #1,,,Blue Ridge Excavating LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Red Bush,,Kentucky,Northern America,Americas,"37,711944","-82,641111",Approximate,,,,,,,,,N,N,N
M5613,,Hungary,Márkushegy Mine,,Márkushegyi Bányaüzem,Vértes Erőmű Zrt,,,,,"0,56",2015,Underground,,"45,2",550,Exact,675,Exact,Lignite,Thermal,1981,2015,Economically unviable,Rehabilitation,Oroszlány,Pusztavám,Móri,Central Transdanubia,Eastern Europe,Europe,"47,4473725","18,2232495",Exact,Coal Plant,Oroszlány power plant,https://www.gem.wiki/Oroszl%C3%A1ny_power_station,,,,,,N,N,N
M1759,,Bosnia and Herzegovina,Zenica Coal Mine,,,RMU Zenica doo,,Elektroprivreda BiH dd [90.4%]; others [9.6%],Bosnia and Herzegovina,,"0,2",2023,Underground,,,494,Estimate,1177,Exact,Subbituminous,Thermal,1880,2024,,Unknown,,Zenica-Doboj,,Kakanj,Southern Europe,Europe,"44,18877222","17,9328966",Exact,Coal Plant,Kakanj Thermal Power Plant,https://www.gem.wiki/Kakanj_Thermal_Power_Plant,,,,,,N,N,N
M4359,,Brazil,Verdinho Coal Mine,,Mina do Verdinho,Carbonifera Criciuma,,,Brazil,"2,1","2,01",2020,Underground,Not Found,,170,Exact,,,Bituminous,Thermal,1982,2015,Financial difficulty,Abandoned,,,Forquilhinha,Santa Catarina,Latin America and the Caribbean,Americas,"-28,787832","-49,446599",Approximate,Coal Plant,Jorge Lacerda power station,https://www.gem.wiki/Jorge_Lacerda_power_station,,,,,,N,N,N
M5586,,Bulgaria,Babino Coal Mine,,въглищен рудник бабино,Hristo Kovachki,,,,,,,Underground,,,500,Exact,650,Exact,Lignite,,,2017,Economically unviable,Unknown,Bobov Dol,,,,Eastern Europe,Europe,"42,3612549","22,9731995",Approximate,,,,,,,,,N,N,N
M5587,,Bulgaria,Bobov Dol Underground Mine,Vagledobiv Bobov Dol,бобов дол под земята,Vagledobiv Bobov Dol EOOD,,Vagledobivna Kompania OOD,,,1,2012,Underground,,,494,Estimate,400,Exact,Lignite,Thermal,1891,2018,Economically unviable,Unknown,Bobov Dol,Bobov Dol,,Kyustendil,Eastern Europe,Europe,"42,3785","22,9973",Exact,,,,,,,,,N,N,N
M5588,,Bulgaria,Cherno More Mine,,Черно море,Rusomir Kaloyanchev,,,,"0,3",,,Underground,,,300,Exact,300,Exact,Lignite,Thermal,,2016,Financial difficulty,Unknown,Black Sea,Burgas,Varna,Varna,Eastern Europe,Europe,"42,58539448","27,48196418",Approximate,,,,,,,,,N,N,N
M5589,,Canada,Cardinal River Mine,Cheviot Creek,,Teck Resources Limited,,,,,2,2019,Surface,Open Pit,"7,5",60,Estimate,,,Bituminous,Met,1969,2020,End of mine life,Rehabilitation,,Hinton,,Alberta,Northern America,Americas,"52,9327615","-117,3092222",Exact,,,,,,,,,N,N,N
M5590,,Canada,Coal Mountain Mine,,,Teck Resources Limited,,,,,"2,7",2017,Surface,Open Pit,,60,Estimate,300,Exact,Bituminous,Met,1905,2018,End of mine life,Rehabilitation,East Kootenay,Sparwood,,British Columbia,Northern America,Americas,"49,5103583","-114,6543932",Exact,Terminal (Export),,,,,,,,N,N,N
